subject_id,n_vertices,n_faces,non_manifold_edges,boundary_edges,status
sub-107937100_ses-1,60056,119859,0,251,OK
sub-107937100_ses-2,60061,119869,1,252,NON_MANIFOLD
sub-107937100_ses-3,60059,119867,6,255,NON_MANIFOLD
sub-107937100_ses-4,60064,119872,2,256,NON_MANIFOLD
sub-107937100_ses-5,60078,119873,4,285,NON_MANIFOLD
sub-107948100_ses-1,60052,119867,3,238,NON_MANIFOLD
sub-107948100_ses-2,60067,119870,5,267,NON_MANIFOLD
sub-107965100_ses-1,60061,119843,2,279,NON_MANIFOLD
sub-107965100_ses-2,60052,119844,1,259,NON_MANIFOLD
sub-107965100_ses-3,60063,119835,1,290,NON_MANIFOLD
sub-107965100_ses-4,60064,119847,1,280,NON_MANIFOLD
sub-107977100_ses-1,60070,119863,3,278,NON_MANIFOLD
sub-107977100_ses-2,60073,119869,4,279,NON_MANIFOLD
sub-107990100_ses-1,60064,119857,1,270,NON_MANIFOLD
sub-107990100_ses-2,60064,119870,3,259,NON_MANIFOLD
sub-107990100_ses-3,60068,119874,1,261,NON_MANIFOLD
sub-108010100_ses-1,60063,119869,3,258,NON_MANIFOLD
sub-108054100_ses-1,60063,119897,4,231,NON_MANIFOLD
sub-108070100_ses-1,60063,119867,3,260,NON_MANIFOLD
sub-108070100_ses-4,60073,119872,4,276,NON_MANIFOLD
sub-108070100_ses-5,60081,119866,2,296,NON_MANIFOLD
sub-108104100_ses-1,60062,119865,2,259,NON_MANIFOLD
sub-108104100_ses-4,60069,119881,3,258,NON_MANIFOLD
sub-108104100_ses-5,60072,119871,4,275,NON_MANIFOLD
sub-108130100_ses-1,60073,119863,3,284,NON_MANIFOLD
sub-108130100_ses-2,60074,119872,2,276,NON_MANIFOLD
sub-108130100_ses-3,60078,119871,1,284,NON_MANIFOLD
sub-108229100_ses-1,60061,119889,4,235,NON_MANIFOLD
sub-108229100_ses-2,60063,119888,2,238,NON_MANIFOLD
sub-108229100_ses-3,60071,119889,2,253,NON_MANIFOLD
sub-108229100_ses-4,60068,119886,7,255,NON_MANIFOLD
sub-108229100_ses-5,60067,119885,3,250,NON_MANIFOLD
sub-108243300_ses-1,60057,119858,0,254,OK
sub-108243300_ses-2,60063,119865,0,259,OK
sub-108246100_ses-1,60068,119875,2,261,NON_MANIFOLD
sub-108246100_ses-2,60065,119884,0,244,OK
sub-108246100_ses-3,60064,119892,2,236,NON_MANIFOLD
sub-108270100_ses-1,60064,119869,3,260,NON_MANIFOLD
sub-108270100_ses-2,60061,119873,2,249,NON_MANIFOLD
sub-108270100_ses-4,60067,119875,2,259,NON_MANIFOLD
sub-108270100_ses-5,60074,119863,3,286,NON_MANIFOLD
sub-108297100_ses-1,60073,119870,1,275,NON_MANIFOLD
sub-108297100_ses-2,60070,119878,3,263,NON_MANIFOLD
sub-108297100_ses-3,60070,119876,3,265,NON_MANIFOLD
sub-108297100_ses-4,60076,119877,2,275,NON_MANIFOLD
sub-108344100_ses-1,60073,119866,3,281,NON_MANIFOLD
sub-108344100_ses-4,60079,119877,3,282,NON_MANIFOLD
sub-108344100_ses-5,60087,119860,2,314,NON_MANIFOLD
sub-108366100_ses-1,60065,119872,0,256,OK
sub-108366100_ses-2,60066,119888,3,245,NON_MANIFOLD
sub-108366100_ses-3,60063,119893,3,234,NON_MANIFOLD
sub-108367100_ses-1,60071,119886,1,255,NON_MANIFOLD
sub-108367100_ses-2,60067,119888,4,248,NON_MANIFOLD
sub-108367100_ses-3,60072,119894,3,251,NON_MANIFOLD
sub-108367100_ses-4,60067,119892,3,243,NON_MANIFOLD
sub-108369100_ses-1,60060,119877,2,243,NON_MANIFOLD
sub-108369100_ses-4,60072,119887,7,262,NON_MANIFOLD
sub-108369100_ses-5,60076,119882,4,272,NON_MANIFOLD
sub-108370100_ses-1,60058,119855,2,261,NON_MANIFOLD
sub-108370100_ses-2,60062,119855,3,270,NON_MANIFOLD
